Client,Recency,Frequency,Revenue,RecencyCluster,FrequencyCluster,RevenueCluster,OverallScore,Segment
Shannon Zuniga,242,5,991,2,0,0,2,Low-Value
Jonathan Harris,242,1,14,2,0,0,2,Low-Value
Bradley Fernandez,186,4,137,2,0,0,2,Low-Value
Natalie Garcia,242,5,470,2,0,0,2,Low-Value
Jerry Turner,242,1,180,2,0,0,2,Low-Value
Juan Kim,242,2,1503,2,0,0,2,Low-Value
Stacey Nguyen,242,7,39,2,0,0,2,Low-Value
Leah Guerra,242,4,164,2,0,0,2,Low-Value
Brandon Hardy,53,5,119,2,0,0,2,Low-Value
Steven Wolf,241,1,153,2,0,0,2,Low-Value
Mary Livingston,241,1,288,2,0,0,2,Low-Value
Sean Allen,49,4,351,2,0,0,2,Low-Value
William Franklin,241,1,36,2,0,0,2,Low-Value
Jasmine Bennett,241,2,293,2,0,0,2,Low-Value
Gary Simmons,241,10,111,2,0,0,2,Low-Value
April Gregory,241,1,2,2,0,0,2,Low-Value
Diane Williams,241,1,42,2,0,0,2,Low-Value
Madeline Henderson,241,2,32,2,0,0,2,Low-Value
Rebecca Collins,241,4,896,2,0,0,2,Low-Value
Stephanie Porter,241,1,31,2,0,0,2,Low-Value
Carlos Thomas,241,1,378,2,0,0,2,Low-Value
Kerri Hill,241,3,37,2,0,0,2,Low-Value
Suzanne Watson DDS,241,3,898,2,0,0,2,Low-Value
Shirley Pham,241,6,370,2,0,0,2,Low-Value
Gary Gonzalez,235,43,635,2,0,0,2,Low-Value
Frederick Williams,241,1,64,2,0,0,2,Low-Value
Colin Delacruz,240,4,212,2,0,0,2,Low-Value
Allen Thomas,235,3,155,2,0,0,2,Low-Value
John Morrison,102,6,3160,2,0,0,2,Low-Value
Martin Reynolds,241,3,28,2,0,0,2,Low-Value
Tammy Miller,241,2,523,2,0,0,2,Low-Value
Cindy Mcdonald,140,3,86,2,0,0,2,Low-Value
Antonio Ramirez,241,2,747,2,0,0,2,Low-Value
John Potts,240,1,234,2,0,0,2,Low-Value
John Harrell,240,1,280,2,0,0,2,Low-Value
Kevin Christensen,56,23,7549,2,0,0,2,Low-Value
Belinda Silva,240,3,55,2,0,0,2,Low-Value
ميلاد صقر,240,1,148,2,0,0,2,Low-Value
Jacob Weaver,240,1,8,2,0,0,2,Low-Value
Deborah Lee,240,2,63,2,0,0,2,Low-Value
Christine Nunez,239,2,6,2,0,0,2,Low-Value
Dylan Torres,240,1,432,2,0,0,2,Low-Value
Brian Simon,73,23,988,2,0,0,2,Low-Value
Kevin Durham,240,1,44,2,0,0,2,Low-Value
Steven Matthews,240,2,86,2,0,0,2,Low-Value
Sean Young,240,6,3647,2,0,0,2,Low-Value
Brandon Thomas,240,2,194,2,0,0,2,Low-Value
Susan Carter,240,1,17,2,0,0,2,Low-Value
Desiree Allen,240,3,151,2,0,0,2,Low-Value
Gina Frederick,191,11,167,2,0,0,2,Low-Value
Andrew Thomas,73,12,359,2,0,0,2,Low-Value
Andrew Thompson,240,25,358,2,0,0,2,Low-Value
Cory Robles,120,23,2343,2,0,0,2,Low-Value
Margaret Zuniga,98,10,5185,2,0,0,2,Low-Value
Amanda Watkins,76,8,88,2,0,0,2,Low-Value
Mark Davis,239,1,288,2,0,0,2,Low-Value
Kyle Campbell,165,8,82,2,0,0,2,Low-Value
Melissa Grant,239,1,30,2,0,0,2,Low-Value
Carolyn Kelley,230,2,630,2,0,0,2,Low-Value
Brittany Todd MD,239,1,288,2,0,0,2,Low-Value
Kelly Holloway,157,14,468,2,0,0,2,Low-Value
Edward Atkinson,217,25,1912,2,0,0,2,Low-Value
Natasha Collins,239,1,10,2,0,0,2,Low-Value
Rodney Willis,239,1,286,2,0,0,2,Low-Value
Paul Goodman,239,1,30,2,0,0,2,Low-Value
Monica Anderson,168,10,587,2,0,0,2,Low-Value
Christopher Harrison,213,7,471,2,0,0,2,Low-Value
Amanda Herman,239,1,11,2,0,0,2,Low-Value
Kelli Pugh,199,3,45,2,0,0,2,Low-Value
Derek Delgado,239,2,20,2,0,0,2,Low-Value
Heidi Bryant,239,3,767,2,0,0,2,Low-Value
Mary Mitchell,239,1,56,2,0,0,2,Low-Value
Kristopher Richardson,239,1,297,2,0,0,2,Low-Value
Danielle Cooper,238,3,64,2,0,0,2,Low-Value
Annette Rogers,238,1,30,2,0,0,2,Low-Value
Zachary Gonzalez,238,1,27,2,0,0,2,Low-Value
Amber Cummings,238,1,23,2,0,0,2,Low-Value
Gregory Fernandez,238,1,18,2,0,0,2,Low-Value
Jose Jimenez,238,1,218,2,0,0,2,Low-Value
Wayne Bryant,157,8,367,2,0,0,2,Low-Value
Michael Gilmore,238,1,17,2,0,0,2,Low-Value
Jennifer Pugh,238,1,141,2,0,0,2,Low-Value
Christopher Everett,238,1,6,2,0,0,2,Low-Value
Jose Gibbs,238,1,459,2,0,0,2,Low-Value
Lindsey Hayes,237,2,34,2,0,0,2,Low-Value
Anthony Lopez,139,9,1060,2,0,0,2,Low-Value
Anthony Mccullough,233,25,896,2,0,0,2,Low-Value
Gregory Hatfield,238,2,42,2,0,0,2,Low-Value
Paula Dominguez,238,6,69,2,0,0,2,Low-Value
Paul Eaton,235,2,598,2,0,0,2,Low-Value
Christopher Montes,238,1,252,2,0,0,2,Low-Value
Travis Strong,231,6,1085,2,0,0,2,Low-Value
Diane Brown,238,1,59,2,0,0,2,Low-Value
Lisa Mclaughlin,238,2,79,2,0,0,2,Low-Value
Tammy Hinton,217,17,505,2,0,0,2,Low-Value
Travis Murillo,237,2,450,2,0,0,2,Low-Value
Juan Murphy,74,51,3831,2,0,0,2,Low-Value
Lisa Wheeler,230,4,292,2,0,0,2,Low-Value
Melanie Ford,237,1,41,2,0,0,2,Low-Value
Chad Barnes,237,16,289,2,0,0,2,Low-Value
Sara Barton,237,1,27,2,0,0,2,Low-Value
Hannah Merritt,237,1,122,2,0,0,2,Low-Value
Candace Lawrence,237,1,42,2,0,0,2,Low-Value
Dylan King,237,4,79,2,0,0,2,Low-Value
Jessica Gibson,123,26,1132,2,0,0,2,Low-Value
Jamie Newman,237,2,400,2,0,0,2,Low-Value
Mackenzie Blake,237,1,703,2,0,0,2,Low-Value
Patricia Howell,237,10,216,2,0,0,2,Low-Value
Mark Walker,237,10,112,2,0,0,2,Low-Value
Ashley Berry,237,4,34,2,0,0,2,Low-Value
Christopher Solis,160,7,186,2,0,0,2,Low-Value
Dennis Nichols,237,3,90,2,0,0,2,Low-Value
Melinda King,237,1,159,2,0,0,2,Low-Value
Daniel Cook,237,3,53,2,0,0,2,Low-Value
Sharon Stone,140,2,29,2,0,0,2,Low-Value
Christopher Conway,235,8,63,2,0,0,2,Low-Value
Adam Floyd,80,4,48,2,0,0,2,Low-Value
Mr. Phillip Vaughn PhD,237,2,681,2,0,0,2,Low-Value
Daniel Bishop,237,3,257,2,0,0,2,Low-Value
Debra Griffin,207,2,466,2,0,0,2,Low-Value
Shawn Smith,237,6,135,2,0,0,2,Low-Value
David White,235,1,16,2,0,0,2,Low-Value
Melinda Chavez,69,6,1294,2,0,0,2,Low-Value
Eric Henry,235,1,279,2,0,0,2,Low-Value
Melanie Farmer,234,4,926,2,0,0,2,Low-Value
Duane Vasquez,235,4,102,2,0,0,2,Low-Value
Elizabeth Neal,235,2,20,2,0,0,2,Low-Value
Thomas Stanley,235,1,14,2,0,0,2,Low-Value
Leslie Morris,150,6,795,2,0,0,2,Low-Value
Sarah Lawrence,235,1,14,2,0,0,2,Low-Value
Jesse Gates,235,2,20,2,0,0,2,Low-Value
Kelly Short,235,2,491,2,0,0,2,Low-Value
Deborah Swanson,235,1,239,2,0,0,2,Low-Value
Aaron Parks,235,1,6,2,0,0,2,Low-Value
Kendra Tapia,120,30,387.3,2,0,0,2,Low-Value
Laura Harris,165,6,1628,2,0,0,2,Low-Value
Bobby Sanders,235,2,426,2,0,0,2,Low-Value
Jeremy Reed,235,1,270,2,0,0,2,Low-Value
Robert Zamora,177,53,5007,2,0,0,2,Low-Value
Travis Boyd,219,10,490,2,0,0,2,Low-Value
Roger Shaw,234,7,21,2,0,0,2,Low-Value
Scott Raymond,234,1,180,2,0,0,2,Low-Value
Roberto Jones,206,6,29,2,0,0,2,Low-Value
Jacob Reed,234,2,10,2,0,0,2,Low-Value
Vanessa George,176,2,603,2,0,0,2,Low-Value
Christina Johnson,234,2,149,2,0,0,2,Low-Value
Jesse Kidd,196,5,1138,2,0,0,2,Low-Value
Crystal Allen,234,1,12,2,0,0,2,Low-Value
Allison Hahn,202,5,50,2,0,0,2,Low-Value
Kenneth Hunt,234,3,225,2,0,0,2,Low-Value
Denise Dickson,234,1,541,2,0,0,2,Low-Value
Alejandro Lopez,234,1,45,2,0,0,2,Low-Value
Alexis Allen,234,4,18,2,0,0,2,Low-Value
Rachel Preston,234,1,14,2,0,0,2,Low-Value
Austin Thompson,234,1,298,2,0,0,2,Low-Value
Brittany Delacruz,234,1,158,2,0,0,2,Low-Value
Nicole Cox,234,16,322,2,0,0,2,Low-Value
Terri Smith,234,2,841,2,0,0,2,Low-Value
Jessica Evans,234,6,143,2,0,0,2,Low-Value
Eric Graham,224,20,606,2,0,0,2,Low-Value
Misty Cortez,234,2,27,2,0,0,2,Low-Value
Mark Gonzalez,234,1,72,2,0,0,2,Low-Value
Brittany Morrison,234,1,369,2,0,0,2,Low-Value
James Stewart,234,1,108,2,0,0,2,Low-Value
Steven Hicks,234,2,437,2,0,0,2,Low-Value
Shirley Smith,234,1,153,2,0,0,2,Low-Value
Karen Burke,234,18,925,2,0,0,2,Low-Value
Timothy Sullivan,234,1,324,2,0,0,2,Low-Value
Jeffrey Clark,234,1,49,2,0,0,2,Low-Value
Jacob Lee PhD,140,5,665,2,0,0,2,Low-Value
Ricky Thompson,233,1,856,2,0,0,2,Low-Value
Samantha Perez DDS,233,1,68,2,0,0,2,Low-Value
Mary Wyatt,233,1,6,2,0,0,2,Low-Value
Paul Cohen,233,1,28,2,0,0,2,Low-Value
Frank Holland,233,7,518,2,0,0,2,Low-Value
Gavin Bradley,233,1,203,2,0,0,2,Low-Value
Christopher Benson,51,2,60,2,0,0,2,Low-Value
Susan Preston,233,1,82,2,0,0,2,Low-Value
Stacey Parker,233,4,70,2,0,0,2,Low-Value
Ronald Prince,233,1,72,2,0,0,2,Low-Value
Calvin Campbell,233,1,69,2,0,0,2,Low-Value
Terry Hatfield,233,2,30,2,0,0,2,Low-Value
Emily Alexander,233,3,50,2,0,0,2,Low-Value
John Hunter,97,32,1741,2,0,0,2,Low-Value
Jason Saunders,233,4,87,2,0,0,2,Low-Value
Kathleen Coleman,233,1,2080,2,0,0,2,Low-Value
Ryan Mills,233,1,288,2,0,0,2,Low-Value
Tom Hardy,233,11,115,2,0,0,2,Low-Value
Joshua Castillo,233,5,18,2,0,0,2,Low-Value
Lee Nguyen,232,1,240,2,0,0,2,Low-Value
Perry Rangel,232,4,284,2,0,0,2,Low-Value
Janet Thompson,232,2,456,2,0,0,2,Low-Value
Carlos Kelley,231,6,58,2,0,0,2,Low-Value
Adam Sanchez,84,17,3799,2,0,0,2,Low-Value
Amy Gordon,232,5,128,2,0,0,2,Low-Value
George Taylor,232,2,175,2,0,0,2,Low-Value
Michael French,232,15,401,2,0,0,2,Low-Value
Sarah Frost,232,7,71,2,0,0,2,Low-Value
Patrick Coleman,209,7,908,2,0,0,2,Low-Value
Sandra Nguyen,232,1,14,2,0,0,2,Low-Value
Gilbert Martinez,232,6,682,2,0,0,2,Low-Value
Charles Cruz,232,1,252,2,0,0,2,Low-Value
Charles Nolan,224,26,137,2,0,0,2,Low-Value
Julia Marsh,232,1,284,2,0,0,2,Low-Value
Amy Cantu,231,3,456,2,0,0,2,Low-Value
Christine Steele,232,1,59,2,0,0,2,Low-Value
Jessica Nelson,232,2,12,2,0,0,2,Low-Value
David Clements DDS,232,1,1667,2,0,0,2,Low-Value
Robert Whitehead,203,6,910,2,0,0,2,Low-Value
Sarah Barnes,218,11,177,2,0,0,2,Low-Value
David Baxter,232,3,459,2,0,0,2,Low-Value
Shane Collins,231,4,37,2,0,0,2,Low-Value
Jessica Reilly,231,1,973,2,0,0,2,Low-Value
Jessica Charles,107,7,36,2,0,0,2,Low-Value
Henry Wilson,231,3,142,2,0,0,2,Low-Value
Rachel Ellis,231,15,233,2,0,0,2,Low-Value
Melanie Hicks,50,25,1492,2,0,0,2,Low-Value
Mark Robinson,231,1,8,2,0,0,2,Low-Value
Eric Garrett,231,6,149,2,0,0,2,Low-Value
Kurt Haley,231,1,32,2,0,0,2,Low-Value
Tiffany Sanchez,231,3,568,2,0,0,2,Low-Value
Alexa Washington DDS,231,3,8,2,0,0,2,Low-Value
Tracy Cole,231,1,36,2,0,0,2,Low-Value
Elizabeth Stephens,143,9,73,2,0,0,2,Low-Value
Chris Hall,227,4,89,2,0,0,2,Low-Value
Deanna White,231,2,143,2,0,0,2,Low-Value
Charles Moreno,231,4,15,2,0,0,2,Low-Value
Shirley Bowen,231,1,216,2,0,0,2,Low-Value
Vanessa Hayes,231,3,106,2,0,0,2,Low-Value
Patricia Sanders,231,2,294,2,0,0,2,Low-Value
Jose Jenkins,231,1,54,2,0,0,2,Low-Value
Chase Pearson,220,14,375,2,0,0,2,Low-Value
Evan Jones,231,1,436,2,0,0,2,Low-Value
Angela Morgan,230,8,292,2,0,0,2,Low-Value
Isaac Evans,231,3,384,2,0,0,2,Low-Value
Jeffrey Maddox,230,1,13,2,0,0,2,Low-Value
Dana King,230,1,32,2,0,0,2,Low-Value
Karen Thompson,230,2,59,2,0,0,2,Low-Value
Colin Johnson,226,3,78,2,0,0,2,Low-Value
Gregory Williams,230,4,352,2,0,0,2,Low-Value
Ashley Hopkins,230,1,28,2,0,0,2,Low-Value
Denise Lee,230,1,306,2,0,0,2,Low-Value
Christopher Cross,230,4,91,2,0,0,2,Low-Value
Todd Ward,230,10,220,2,0,0,2,Low-Value
Katie Davis,230,1,14,2,0,0,2,Low-Value
Abigail James,230,1,320,2,0,0,2,Low-Value
Jose Collins,230,2,8,2,0,0,2,Low-Value
Amber Mckee,230,41,1756,2,0,0,2,Low-Value
Brandy Cooper,230,1,270,2,0,0,2,Low-Value
Amy Johnson,92,9,208,2,0,0,2,Low-Value
Cody Stokes,230,1,3,2,0,0,2,Low-Value
Zachary Santos,230,1,11,2,0,0,2,Low-Value
Heather Wyatt,230,12,450,2,0,0,2,Low-Value
Lori Brooks,230,2,17,2,0,0,2,Low-Value
Joseph Harper,203,17,1956,2,0,0,2,Low-Value
Jeffrey Schneider,177,7,193,2,0,0,2,Low-Value
Jerry Mendoza,216,7,173,2,0,0,2,Low-Value
Joshua Taylor,126,29,421,2,0,0,2,Low-Value
Carla Rogers,228,2,261,2,0,0,2,Low-Value
Douglas Davis,228,1,766,2,0,0,2,Low-Value
Elizabeth Smith,228,1,251,2,0,0,2,Low-Value
Jeremiah Harris,228,3,8,2,0,0,2,Low-Value
Theresa Hahn,228,1,6,2,0,0,2,Low-Value
Sean Mendoza,228,3,8,2,0,0,2,Low-Value
Melanie Owens,228,2,6,2,0,0,2,Low-Value
Julie French,172,4,743,2,0,0,2,Low-Value
Cody Vargas,228,12,319,2,0,0,2,Low-Value
Christopher Lowery,185,5,87,2,0,0,2,Low-Value
Richard Kelley,228,11,1589,2,0,0,2,Low-Value
Wesley Grant,228,1,90,2,0,0,2,Low-Value
Yolanda Lawrence,228,4,425,2,0,0,2,Low-Value
Holly Smith,228,1,216,2,0,0,2,Low-Value
Gary Edwards,64,6,331,2,0,0,2,Low-Value
Stefanie Gonzalez,228,1,8,2,0,0,2,Low-Value
Walter Buckley,228,2,275,2,0,0,2,Low-Value
Jeffery Boyd,144,4,487,2,0,0,2,Low-Value
Ruth Allen,228,4,87,2,0,0,2,Low-Value
Abigail Cohen,227,4,140,2,0,0,2,Low-Value
Dale Gonzalez,228,4,709,2,0,0,2,Low-Value
Christine Cox,228,2,451,2,0,0,2,Low-Value
Nicholas Wagner,228,6,281,2,0,0,2,Low-Value
Michelle Morgan,228,1,10,2,0,0,2,Low-Value
Steven Sanders,227,5,512,2,0,0,2,Low-Value
Jennifer Manning,227,32,506,2,0,0,2,Low-Value
Justin Hughes,227,1,18,2,0,0,2,Low-Value
Mr. Daniel Smith,227,1,6,2,0,0,2,Low-Value
Kelly Lawson,227,1,20,2,0,0,2,Low-Value
Jason King,226,2,16,2,0,0,2,Low-Value
Deborah Owens,227,1,14,2,0,0,2,Low-Value
Cheryl Suarez DVM,227,1,545,2,0,0,2,Low-Value
Joanne Murphy,214,5,351,2,0,0,2,Low-Value
Russell Brady,227,3,551,2,0,0,2,Low-Value
Kristopher Humphrey,227,1,703,2,0,0,2,Low-Value
Andrew Sparks,226,4,329,2,0,0,2,Low-Value
Walter Stewart,140,4,180,2,0,0,2,Low-Value
Lisa Murray,227,4,86,2,0,0,2,Low-Value
Eileen Jones,225,2,22,2,0,0,2,Low-Value
Jesus Greer,227,1,370,2,0,0,2,Low-Value
Shannon Glenn,227,1,2,2,0,0,2,Low-Value
Cynthia Woods,227,1,9,2,0,0,2,Low-Value
Joshua Wright,227,1,192,2,0,0,2,Low-Value
Dustin Sweeney,226,5,919,2,0,0,2,Low-Value
Kevin Garza,185,17,1624,2,0,0,2,Low-Value
Alexis Dunlap,156,27,1340,2,0,0,2,Low-Value
Kevin Neal,224,18,289,2,0,0,2,Low-Value
Andrew Banks,227,1,22,2,0,0,2,Low-Value
Stephanie Henry,197,2,40,2,0,0,2,Low-Value
Christopher Ramirez,227,1,270,2,0,0,2,Low-Value
Nicole Wilson,65,24,218,2,0,0,2,Low-Value
Mary Lambert,227,1,45,2,0,0,2,Low-Value
Paige Greene,227,2,90,2,0,0,2,Low-Value
Carla Smith,227,6,93,2,0,0,2,Low-Value
William Cook,227,10,200,2,0,0,2,Low-Value
Laura Lee,226,1,45,2,0,0,2,Low-Value
Kevin Baker,163,7,181,2,0,0,2,Low-Value
Glenn Anderson,226,2,1081,2,0,0,2,Low-Value
Emily Walter,226,4,403,2,0,0,2,Low-Value
Jessica Ward,192,7,974,2,0,0,2,Low-Value
Christopher Turner,171,12,88,2,0,0,2,Low-Value
Zachary Vargas,226,2,762,2,0,0,2,Low-Value
Destiny Jimenez,226,6,88,2,0,0,2,Low-Value
Michelle Peterson,226,1,297,2,0,0,2,Low-Value
Pamela Rodriguez DDS,226,9,102,2,0,0,2,Low-Value
Michael Porter,226,1,239,2,0,0,2,Low-Value
Scott Green II,226,2,216,2,0,0,2,Low-Value
Michael Arnold,179,5,87,2,0,0,2,Low-Value
Ronald Rush,226,2,234,2,0,0,2,Low-Value
Adam Williams,56,6,673,2,0,0,2,Low-Value
Ryan Conrad,226,3,34,2,0,0,2,Low-Value
Laura Curtis,226,3,41,2,0,0,2,Low-Value
Amy Shea,189,8,31,2,0,0,2,Low-Value
Michael Mills,55,6,336,2,0,0,2,Low-Value
Willie Tran,226,2,98,2,0,0,2,Low-Value
Alicia Carey,226,2,54,2,0,0,2,Low-Value
Eduardo Bell,65,33,3053,2,0,0,2,Low-Value
John Oneill,226,2,657,2,0,0,2,Low-Value
Julia Woods,226,1,342,2,0,0,2,Low-Value
Miss Megan Sampson DDS,226,11,180,2,0,0,2,Low-Value
Susan Medina,133,2,270,2,0,0,2,Low-Value
Lori Fletcher,213,9,1833,2,0,0,2,Low-Value
William Patterson,226,1,18,2,0,0,2,Low-Value
Donna Martin,226,1,131,2,0,0,2,Low-Value
Dennis Sanders,226,1,279,2,0,0,2,Low-Value
Michael Howell,140,15,632,2,0,0,2,Low-Value
Joseph Fox,226,1,7,2,0,0,2,Low-Value
Samuel Russell,225,5,75,2,0,0,2,Low-Value
Cheryl Burke,111,12,906,2,0,0,2,Low-Value
Pamela Reyes,225,2,248,2,0,0,2,Low-Value
Omar Melendez,225,3,572,2,0,0,2,Low-Value
Herbert Rodriguez,225,1,216,2,0,0,2,Low-Value
Ann Watson,225,1,207,2,0,0,2,Low-Value
John Dennis,225,4,73,2,0,0,2,Low-Value
Caitlin Gilbert,225,1,6,2,0,0,2,Low-Value
Steven Simpson,225,15,10461,2,0,0,2,Low-Value
Joseph Atkins,116,9,652,2,0,0,2,Low-Value
Ricardo Martinez,209,3,1401,2,0,0,2,Low-Value
Gary Miranda,225,3,530,2,0,0,2,Low-Value
Gina Martinez,46,15,342,2,0,0,2,Low-Value
Alexander Martinez,225,7,14,2,0,0,2,Low-Value
Walter Green,225,3,981,2,0,0,2,Low-Value
Timothy Weaver,178,34,920,2,0,0,2,Low-Value
Wendy Thomas,225,1,59,2,0,0,2,Low-Value
Traci Friedman PhD,225,2,158,2,0,0,2,Low-Value
Amy Vang,211,3,73,2,0,0,2,Low-Value
Derrick Ramsey,225,6,114,2,0,0,2,Low-Value
Kelsey Tran,225,2,52,2,0,0,2,Low-Value
Michael Woods,224,7,186,2,0,0,2,Low-Value
Stephanie Daniel,225,1,50,2,0,0,2,Low-Value
Edward Thomas,225,37,1555,2,0,0,2,Low-Value
Kristin Clark,225,2,56,2,0,0,2,Low-Value
Henry Watson,225,1,257,2,0,0,2,Low-Value
Corey Gibson,225,1,69,2,0,0,2,Low-Value
Bridget Holloway,224,1,153,2,0,0,2,Low-Value
Mathew Smith,224,6,557,2,0,0,2,Low-Value
Renee Jones,132,17,345,2,0,0,2,Low-Value
Joann Davis,224,2,93,2,0,0,2,Low-Value
Seth Thompson,197,2,13,2,0,0,2,Low-Value
David Richard,224,1,60,2,0,0,2,Low-Value
Melissa Ellis,224,8,471,2,0,0,2,Low-Value
Brandon Nguyen,69,38,459.1,2,0,0,2,Low-Value
Antonio Graves,224,1,676,2,0,0,2,Low-Value
Randy Foley,224,1,17,2,0,0,2,Low-Value
Sarah Wilkerson,224,1,1,2,0,0,2,Low-Value
Devin Schmidt,224,1,21,2,0,0,2,Low-Value
Bryan Ortiz,224,8,1695,2,0,0,2,Low-Value
Michelle Miller,156,9,414,2,0,0,2,Low-Value
Danielle Sims,224,2,18,2,0,0,2,Low-Value
Monica Howard,224,2,24,2,0,0,2,Low-Value
Kimberly Jones,224,2,94,2,0,0,2,Low-Value
Mrs. Tonya Liu,224,1,243,2,0,0,2,Low-Value
Charles Ramos,224,10,265,2,0,0,2,Low-Value
Tiffany Holland,224,3,111,2,0,0,2,Low-Value
Jeffery Price,224,3,12,2,0,0,2,Low-Value
Kerry White,224,6,206,2,0,0,2,Low-Value
Jennifer Boyd,224,3,55,2,0,0,2,Low-Value
Tammy Adams,66,3,381,2,0,0,2,Low-Value
Linda Owens,224,6,325,2,0,0,2,Low-Value
Cristian Stewart,224,1,17,2,0,0,2,Low-Value
Alex Price,169,35,1407,2,0,0,2,Low-Value
Ronald Baker,224,3,88,2,0,0,2,Low-Value
Christine Briggs,224,11,264,2,0,0,2,Low-Value
Patricia Williams,79,5,69,2,0,0,2,Low-Value
Timothy Bautista,223,8,286,2,0,0,2,Low-Value
Julie Williams,57,8,1823,2,0,0,2,Low-Value
Sierra Little,220,1,14,2,0,0,2,Low-Value
Tommy Crosby,126,26,1293,2,0,0,2,Low-Value
Antonio Wall,176,5,1260,2,0,0,2,Low-Value
Natalie Sampson,220,2,254,2,0,0,2,Low-Value
Joseph Mckay,220,1,42,2,0,0,2,Low-Value
Ashley Miller,220,1,149,2,0,0,2,Low-Value
Jenna Wright,220,1,90,2,0,0,2,Low-Value
Julie Lopez,219,13,390,2,0,0,2,Low-Value
Mr. Donald Matthews,220,2,6,2,0,0,2,Low-Value
Kelly Evans,112,26,2027,2,0,0,2,Low-Value
Sandra Macias,92,2,482,2,0,0,2,Low-Value
Ricardo Herrera,220,3,81,2,0,0,2,Low-Value
Jade Harrison,179,14,283,2,0,0,2,Low-Value
Lisa Hamilton,50,25,683,2,0,0,2,Low-Value
Sarah Holmes,220,5,20,2,0,0,2,Low-Value
Colin Taylor,220,1,28,2,0,0,2,Low-Value
Jason Mitchell,220,1,216,2,0,0,2,Low-Value
Shannon Lee,220,1,82,2,0,0,2,Low-Value
Nicole Riddle,107,7,76,2,0,0,2,Low-Value
Elizabeth Bradshaw,220,2,57,2,0,0,2,Low-Value
Karen Walsh,220,1,306,2,0,0,2,Low-Value
Donald Avery,156,8,541,2,0,0,2,Low-Value
Kimberly Cochran,220,3,33,2,0,0,2,Low-Value
Alexandra Cardenas,220,3,456,2,0,0,2,Low-Value
Scott Blair,220,2,63,2,0,0,2,Low-Value
Caroline Shaffer,220,1,16,2,0,0,2,Low-Value
David Anderson,220,2,22,2,0,0,2,Low-Value
Cynthia Jensen,220,1,337,2,0,0,2,Low-Value
Harold Bender,220,2,276,2,0,0,2,Low-Value
Jamie Vance,220,2,351,2,0,0,2,Low-Value
Julie Stout,220,1,384,2,0,0,2,Low-Value
Omar White,220,1,126,2,0,0,2,Low-Value
Amber Frazier,220,1,63,2,0,0,2,Low-Value
Deborah Dominguez,220,4,30,2,0,0,2,Low-Value
Jennifer Bean,220,1,21,2,0,0,2,Low-Value
Terri Lowery,219,2,126,2,0,0,2,Low-Value
Jenna Tucker,219,3,153,2,0,0,2,Low-Value
Christina Walls,218,5,399,2,0,0,2,Low-Value
Michael Dunlap,219,4,107,2,0,0,2,Low-Value
Brandon Estes,219,1,14,2,0,0,2,Low-Value
Kenneth Bennett,218,2,22,2,0,0,2,Low-Value
Jason Parsons,219,1,30,2,0,0,2,Low-Value
Maria Johnson,158,6,845,2,0,0,2,Low-Value
Anna Wright,219,2,49,2,0,0,2,Low-Value
William Estrada,219,1,16,2,0,0,2,Low-Value
Alan Blanchard,219,18,365,2,0,0,2,Low-Value
Leslie Ruiz,219,3,353,2,0,0,2,Low-Value
Brenda Medina,219,1,50,2,0,0,2,Low-Value
Jon Crawford,219,4,29,2,0,0,2,Low-Value
Robert Byrd,109,12,390,2,0,0,2,Low-Value
Anthony Park,219,11,91,2,0,0,2,Low-Value
Tamara Galvan,219,1,203,2,0,0,2,Low-Value
Roy Gonzalez,219,20,538,2,0,0,2,Low-Value
Jasmine Harrell,219,11,73,2,0,0,2,Low-Value
Peter Fields,219,54,942,2,0,0,2,Low-Value
Abigail Mendoza,219,1,29,2,0,0,2,Low-Value
Ms. Gail Harrison MD,219,2,98,2,0,0,2,Low-Value
Keith Lopez,219,4,39,2,0,0,2,Low-Value
Zachary Anderson,219,1,338,2,0,0,2,Low-Value
Sandy Robinson,128,5,89,2,0,0,2,Low-Value
David Kidd,218,1,200,2,0,0,2,Low-Value
Elizabeth Riggs,218,3,991,2,0,0,2,Low-Value
Heidi Rosales,218,1,495,2,0,0,2,Low-Value
Brian Russo,218,1,12,2,0,0,2,Low-Value
Michele Diaz,218,1,72,2,0,0,2,Low-Value
Amy Browning,104,3,0,2,0,0,2,Low-Value
Amanda Evans,218,3,446,2,0,0,2,Low-Value
Jake Sanchez,120,4,931,2,0,0,2,Low-Value
Rebecca Sharp,218,5,179,2,0,0,2,Low-Value
Maria Marquez,218,2,644,2,0,0,2,Low-Value
Thomas Madden,218,2,38,2,0,0,2,Low-Value
Joshua Shaw,218,1,315,2,0,0,2,Low-Value
Melissa Underwood,218,8,310,2,0,0,2,Low-Value
Thomas Strickland,218,6,1275,2,0,0,2,Low-Value
Melissa Mccarthy,218,1,33,2,0,0,2,Low-Value
Keith Mccoy,218,6,261,2,0,0,2,Low-Value
Melissa Torres,46,4,68,2,0,0,2,Low-Value
Samantha Dyer,217,3,135,2,0,0,2,Low-Value
Alicia Macdonald,218,2,68,2,0,0,2,Low-Value
Thomas Myers,217,10,1767,2,0,0,2,Low-Value
Samantha Brown,218,3,40,2,0,0,2,Low-Value
Mr. Derek Diaz,218,1,405,2,0,0,2,Low-Value
Dawn Jefferson,218,3,120,2,0,0,2,Low-Value
John Russell,218,1,18,2,0,0,2,Low-Value
